Date,Month,Quarter,Region,Category,Sales Rep,Channel,Units,Unit Price,Revenue,Cost,Gross Profit
30-Jan-2024,Jan 2024,Q1 2024,Mombasa,Electronics,Henry L.,Direct,97,355.27,"34,461.19","22,541.34","11,919.85"
30-Jan-2024,Jan 2024,Q1 2024,Eldoret,Industrial Supplies,Felix R.,Distributor,189,22.47,"4,246.83","2,445.83","1,801.00"
31-Jan-2024,Jan 2024,Q1 2024,Kisumu,FMCG,Carol W.,Distributor,42,358.58,"15,060.36","6,928.24","8,132.12"
31-Jan-2024,Jan 2024,Q1 2024,Nakuru,Food & Beverage,Esther N.,Walk-in,113,353.89,"39,989.57","28,838.49","11,151.08"
01-Feb-2024,Feb 2024,Q1 2024,Nakuru,Electronics,Felix R.,Direct,134,326.60,"43,764.40","32,223.74","11,540.66"
02-Feb-2024,Feb 2024,Q1 2024,Kisumu,Apparel,Alice M.,Distributor,176,437.84,"77,059.84","43,794.27","33,265.57"
03-Feb-2024,Feb 2024,Q1 2024,Nairobi,Apparel,Esther N.,Walk-in,191,264.94,"50,603.54","28,669.88","21,933.66"
05-Feb-2024,Feb 2024,Q1 2024,Mombasa,Apparel,Esther N.,Distributor,117,418.54,"48,969.18","24,668.76","24,300.42"
05-Feb-2024,Feb 2024,Q1 2024,Eldoret,Apparel,Alice M.,Walk-in,130,61.71,"8,022.30","3,319.02","4,703.28"
07-Feb-2024,Feb 2024,Q1 2024,Nairobi,Apparel,Carol W.,Walk-in,187,394.11,"73,698.57","51,294.43","22,404.14"
08-Feb-2024,Feb 2024,Q1 2024,Nakuru,Apparel,Carol W.,Direct,41,425.85,"17,459.85","8,951.12","8,508.73"
08-Feb-2024,Feb 2024,Q1 2024,Eldoret,Electronics,Felix R.,Walk-in,185,25.19,"4,660.15","1,957.94","2,702.21"
09-Feb-2024,Feb 2024,Q1 2024,Kisumu,Apparel,David K.,Walk-in,157,312.17,"49,010.69","28,903.98","20,106.71"
09-Feb-2024,Feb 2024,Q1 2024,Nakuru,Industrial Supplies,Felix R.,Direct,132,431.09,"56,903.88","39,354.24","17,549.64"
10-Feb-2024,Feb 2024,Q1 2024,Mombasa,Electronics,Grace A.,Online,121,321.49,"38,900.29","24,207.99","14,692.30"
11-Feb-2024,Feb 2024,Q1 2024,Nakuru,Electronics,Esther N.,Walk-in,125,249.66,"31,207.50","16,185.33","15,022.17"
12-Feb-2024,Feb 2024,Q1 2024,Nakuru,Electronics,Grace A.,Distributor,144,153.95,"22,168.80","15,830.53","6,338.27"
13-Feb-2024,Feb 2024,Q1 2024,Nairobi,FMCG,Felix R.,Online,92,233.11,"21,446.12","14,531.81","6,914.31"
14-Feb-2024,Feb 2024,Q1 2024,Kisumu,Industrial Supplies,Carol W.,Walk-in,56,324.90,"18,194.40","8,569.21","9,625.19"
15-Feb-2024,Feb 2024,Q1 2024,Nairobi,Food & Beverage,Henry L.,Distributor,28,391.97,"10,975.16","7,943.09","3,032.07"
16-Feb-2024,Feb 2024,Q1 2024,Mombasa,Apparel,Grace A.,Direct,178,156.43,"27,844.54","12,891.15","14,953.39"
16-Feb-2024,Feb 2024,Q1 2024,Eldoret,Industrial Supplies,Carol W.,Online,102,191.01,"19,483.02","11,572.50","7,910.52"
19-Feb-2024,Feb 2024,Q1 2024,Mombasa,Food & Beverage,Carol W.,Walk-in,121,191.80,"23,207.80","9,694.29","13,513.51"
21-Feb-2024,Feb 2024,Q1 2024,Nakuru,Electronics,Henry L.,Direct,189,80.64,"15,240.96","6,784.87","8,456.09"
21-Feb-2024,Feb 2024,Q1 2024,Nakuru,FMCG,Esther N.,Direct,16,168.94,"2,703.04","1,974.19",728.85
21-Feb-2024,Feb 2024,Q1 2024,Mombasa,FMCG,Esther N.,Direct,200,498.23,"99,646.00","67,082.28","32,563.72"
21-Feb-2024,Feb 2024,Q1 2024,Kisumu,FMCG,Henry L.,Online,72,237.50,"17,100.00","12,227.64","4,872.36"
22-Feb-2024,Feb 2024,Q1 2024,Nairobi,Industrial Supplies,Brian O.,Online,93,305.83,"28,442.19","13,296.87","15,145.32"
23-Feb-2024,Feb 2024,Q1 2024,Eldoret,Apparel,Carol W.,Direct,95,277.55,"26,367.25","12,267.94","14,099.31"
24-Feb-2024,Feb 2024,Q1 2024,Mombasa,Industrial Supplies,Felix R.,Online,184,154.66,"28,457.44","11,602.65","16,854.79"
24-Feb-2024,Feb 2024,Q1 2024,Kisumu,Apparel,Henry L.,Walk-in,39,427.02,"16,653.78","9,762.32","6,891.46"
27-Feb-2024,Feb 2024,Q1 2024,Nairobi,Industrial Supplies,Alice M.,Distributor,57,42.97,"2,449.29","1,327.81","1,121.48"
28-Feb-2024,Feb 2024,Q1 2024,Nairobi,FMCG,Henry L.,Walk-in,148,67.70,"10,019.60","4,797.01","5,222.59"
29-Feb-2024,Feb 2024,Q1 2024,Nakuru,Food & Beverage,Alice M.,Walk-in,110,36.56,"4,021.60","2,286.47","1,735.13"
29-Feb-2024,Feb 2024,Q1 2024,Mombasa,Food & Beverage,Henry L.,Direct,135,228.29,"30,819.15","22,514.24","8,304.91"
29-Feb-2024,Feb 2024,Q1 2024,Nakuru,Food & Beverage,Alice M.,Online,175,373.43,"65,350.25","32,071.92","33,278.33"
01-Mar-2024,Mar 2024,Q1 2024,Mombasa,FMCG,Felix R.,Walk-in,47,311.91,"14,659.77","6,967.83","7,691.94"
02-Mar-2024,Mar 2024,Q1 2024,Nairobi,FMCG,Alice M.,Distributor,132,476.98,"62,961.36","35,695.82","27,265.54"
02-Mar-2024,Mar 2024,Q1 2024,Nairobi,FMCG,Esther N.,Direct,60,419.60,"25,176.00","15,993.61","9,182.39"
04-Mar-2024,Mar 2024,Q1 2024,Mombasa,Industrial Supplies,Henry L.,Direct,114,109.14,"12,441.96","6,332.87","6,109.09"
04-Mar-2024,Mar 2024,Q1 2024,Eldoret,Industrial Supplies,Felix R.,Walk-in,85,397.63,"33,798.55","22,417.73","11,380.82"
05-Mar-2024,Mar 2024,Q1 2024,Nakuru,Electronics,Alice M.,Online,125,244.57,"30,571.25","19,282.91","11,288.34"
05-Mar-2024,Mar 2024,Q1 2024,Kisumu,Food & Beverage,Felix R.,Walk-in,157,269.97,"42,385.29","25,058.17","17,327.12"
06-Mar-2024,Mar 2024,Q1 2024,Mombasa,Electronics,Alice M.,Online,123,340.01,"41,821.23","23,396.64","18,424.59"
07-Mar-2024,Mar 2024,Q1 2024,Nakuru,Food & Beverage,Alice M.,Direct,137,84.98,"11,642.26","8,060.75","3,581.51"
07-Mar-2024,Mar 2024,Q1 2024,Kisumu,FMCG,Felix R.,Direct,10,82.38,823.80,414.66,409.14
08-Mar-2024,Mar 2024,Q1 2024,Nairobi,Apparel,Felix R.,Walk-in,49,108.39,"5,311.11","2,521.29","2,789.82"
08-Mar-2024,Mar 2024,Q1 2024,Eldoret,Industrial Supplies,Henry L.,Direct,148,236.57,"35,012.36","16,371.07","18,641.29"
08-Mar-2024,Mar 2024,Q1 2024,Kisumu,FMCG,Esther N.,Direct,172,186.61,"32,096.92","23,146.78","8,950.14"
08-Mar-2024,Mar 2024,Q1 2024,Nakuru,Electronics,David K.,Walk-in,27,368.07,"9,937.89","7,097.15","2,840.74"
09-Mar-2024,Mar 2024,Q1 2024,Nakuru,Electronics,Alice M.,Walk-in,174,482.47,"83,949.78","56,005.41","27,944.37"
10-Mar-2024,Mar 2024,Q1 2024,Nakuru,Apparel,Grace A.,Walk-in,101,194.07,"19,601.07","10,017.02","9,584.05"
10-Mar-2024,Mar 2024,Q1 2024,Kisumu,Electronics,Grace A.,Online,163,196.15,"31,972.45","14,331.03","17,641.42"
10-Mar-2024,Mar 2024,Q1 2024,Eldoret,Food & Beverage,Alice M.,Distributor,54,438.84,"23,697.36","16,108.18","7,589.18"
11-Mar-2024,Mar 2024,Q1 2024,Eldoret,Industrial Supplies,Brian O.,Direct,33,84.89,"2,801.37","1,944.17",857.20
11-Mar-2024,Mar 2024,Q1 2024,Nairobi,Food & Beverage,Carol W.,Walk-in,172,468.17,"80,525.24","35,637.26","44,887.98"
11-Mar-2024,Mar 2024,Q1 2024,Mombasa,Electronics,Carol W.,Direct,60,257.81,"15,468.60","9,580.94","5,887.66"
12-Mar-2024,Mar 2024,Q1 2024,Nairobi,Electronics,Alice M.,Distributor,38,107.09,"4,069.42","2,481.52","1,587.90"
13-Mar-2024,Mar 2024,Q1 2024,Nairobi,Electronics,David K.,Walk-in,112,232.29,"26,016.48","18,079.03","7,937.45"
13-Mar-2024,Mar 2024,Q1 2024,Nairobi,Food & Beverage,Felix R.,Direct,100,355.22,"35,522.00","18,409.32","17,112.68"
15-Mar-2024,Mar 2024,Q1 2024,Nairobi,Apparel,Grace A.,Online,44,106.13,"4,669.72","3,126.35","1,543.37"
17-Mar-2024,Mar 2024,Q1 2024,Kisumu,FMCG,Brian O.,Direct,47,398.39,"18,724.33","10,143.62","8,580.71"
17-Mar-2024,Mar 2024,Q1 2024,Eldoret,Food & Beverage,Grace A.,Direct,78,126.44,"9,862.32","6,976.14","2,886.18"
18-Mar-2024,Mar 2024,Q1 2024,Nakuru,FMCG,Grace A.,Walk-in,193,366.43,"70,720.99","35,571.15","35,149.84"
18-Mar-2024,Mar 2024,Q1 2024,Nakuru,Food & Beverage,Henry L.,Distributor,27,449.33,"12,131.91","8,504.41","3,627.50"
19-Mar-2024,Mar 2024,Q1 2024,Mombasa,Electronics,Grace A.,Walk-in,89,275.88,"24,553.32","14,841.97","9,711.35"
19-Mar-2024,Mar 2024,Q1 2024,Mombasa,FMCG,Henry L.,Direct,149,474.40,"70,685.60","41,509.28","29,176.32"
19-Mar-2024,Mar 2024,Q1 2024,Nakuru,Apparel,Esther N.,Walk-in,128,490.32,"62,760.96","41,716.85","21,044.11"
20-Mar-2024,Mar 2024,Q1 2024,Nairobi,Industrial Supplies,Esther N.,Online,164,349.43,"57,306.52","29,945.93","27,360.59"
20-Mar-2024,Mar 2024,Q1 2024,Nakuru,FMCG,Brian O.,Online,147,190.10,"27,944.70","13,499.75","14,444.95"
21-Mar-2024,Mar 2024,Q1 2024,Nakuru,Electronics,Esther N.,Distributor,134,457.19,"61,263.46","27,281.75","33,981.71"
21-Mar-2024,Mar 2024,Q1 2024,Nakuru,Industrial Supplies,Henry L.,Walk-in,57,176.69,"10,071.33","7,047.07","3,024.26"
21-Mar-2024,Mar 2024,Q1 2024,Kisumu,Electronics,Brian O.,Distributor,194,259.32,"50,308.08","36,955.65","13,352.43"
22-Mar-2024,Mar 2024,Q1 2024,Nairobi,Industrial Supplies,Henry L.,Walk-in,51,309.55,"15,787.05","7,535.04","8,252.01"
24-Mar-2024,Mar 2024,Q1 2024,Mombasa,Food & Beverage,Carol W.,Walk-in,16,211.32,"3,381.12","1,735.44","1,645.68"
25-Mar-2024,Mar 2024,Q1 2024,Eldoret,Industrial Supplies,Carol W.,Direct,30,172.24,"5,167.20","2,113.18","3,054.02"
26-Mar-2024,Mar 2024,Q1 2024,Nakuru,Industrial Supplies,Henry L.,Distributor,107,452.20,"48,385.40","33,500.94","14,884.46"
26-Mar-2024,Mar 2024,Q1 2024,Nairobi,Food & Beverage,Alice M.,Distributor,79,26.02,"2,055.58","1,379.92",675.66
26-Mar-2024,Mar 2024,Q1 2024,Mombasa,FMCG,Carol W.,Direct,113,48.40,"5,469.20","2,794.25","2,674.95"
27-Mar-2024,Mar 2024,Q1 2024,Nairobi,Food & Beverage,Brian O.,Distributor,94,182.04,"17,111.76","7,094.91","10,016.85"
27-Mar-2024,Mar 2024,Q1 2024,Eldoret,Industrial Supplies,Grace A.,Walk-in,12,197.54,"2,370.48","1,423.87",946.61
27-Mar-2024,Mar 2024,Q1 2024,Eldoret,FMCG,Henry L.,Direct,38,311.10,"11,821.80","6,245.21","5,576.59"
27-Mar-2024,Mar 2024,Q1 2024,Nairobi,Apparel,Alice M.,Walk-in,168,135.34,"22,737.12","12,797.44","9,939.68"
28-Mar-2024,Mar 2024,Q1 2024,Eldoret,FMCG,Esther N.,Direct,125,72.69,"9,086.25","5,992.13","3,094.12"
29-Mar-2024,Mar 2024,Q1 2024,Nakuru,Electronics,Alice M.,Direct,8,138.47,"1,107.76",815.38,292.38
30-Mar-2024,Mar 2024,Q1 2024,Eldoret,Food & Beverage,Esther N.,Walk-in,145,418.53,"60,686.85","39,060.71","21,626.14"
30-Mar-2024,Mar 2024,Q1 2024,Nakuru,Industrial Supplies,Carol W.,Distributor,21,360.86,"7,578.06","3,180.80","4,397.26"
30-Mar-2024,Mar 2024,Q1 2024,Nairobi,Industrial Supplies,Henry L.,Distributor,29,236.40,"6,855.60","3,212.78","3,642.82"
30-Mar-2024,Mar 2024,Q1 2024,Nairobi,Apparel,Felix R.,Online,114,371.88,"42,394.32","30,386.15","12,008.17"
31-Mar-2024,Mar 2024,Q1 2024,Nakuru,Food & Beverage,Felix R.,Online,46,420.45,"19,340.70","12,754.59","6,586.11"
01-Apr-2024,Apr 2024,Q2 2024,Eldoret,Apparel,Alice M.,Direct,157,222.94,"35,001.58","17,326.11","17,675.47"
01-Apr-2024,Apr 2024,Q2 2024,Nairobi,Electronics,Carol W.,Distributor,54,313.69,"16,939.26","11,207.92","5,731.34"
02-Apr-2024,Apr 2024,Q2 2024,Mombasa,FMCG,Brian O.,Walk-in,163,344.74,"56,192.62","32,356.64","23,835.98"
02-Apr-2024,Apr 2024,Q2 2024,Mombasa,Apparel,Henry L.,Distributor,62,499.99,"30,999.38","21,568.41","9,430.97"
03-Apr-2024,Apr 2024,Q2 2024,Nairobi,Apparel,Grace A.,Online,59,232.80,"13,735.20","8,678.93","5,056.27"
04-Apr-2024,Apr 2024,Q2 2024,Eldoret,Electronics,Alice M.,Direct,176,33.77,"5,943.52","4,444.36","1,499.16"
07-Apr-2024,Apr 2024,Q2 2024,Mombasa,Industrial Supplies,Henry L.,Walk-in,83,253.71,"21,057.93","15,129.76","5,928.17"
08-Apr-2024,Apr 2024,Q2 2024,Nairobi,Apparel,Carol W.,Walk-in,170,136.06,"23,130.20","15,840.26","7,289.94"
10-Apr-2024,Apr 2024,Q2 2024,Eldoret,FMCG,Carol W.,Direct,109,21.72,"2,367.48","1,326.88","1,040.60"
11-Apr-2024,Apr 2024,Q2 2024,Eldoret,FMCG,Esther N.,Distributor,96,354.68,"34,049.28","22,017.19","12,032.09"
12-Apr-2024,Apr 2024,Q2 2024,Mombasa,FMCG,Henry L.,Direct,97,281.47,"27,302.59","16,951.66","10,350.93"
12-Apr-2024,Apr 2024,Q2 2024,Eldoret,Food & Beverage,Carol W.,Direct,191,236.19,"45,112.29","22,649.60","22,462.69"
13-Apr-2024,Apr 2024,Q2 2024,Mombasa,Food & Beverage,Brian O.,Distributor,32,90.54,"2,897.28","1,700.36","1,196.92"
13-Apr-2024,Apr 2024,Q2 2024,Mombasa,Food & Beverage,Esther N.,Online,191,457.95,"87,468.45","63,549.84","23,918.61"
14-Apr-2024,Apr 2024,Q2 2024,Kisumu,FMCG,Carol W.,Online,79,170.78,"13,491.62","10,082.21","3,409.41"
14-Apr-2024,Apr 2024,Q2 2024,Mombasa,Food & Beverage,Felix R.,Walk-in,155,320.80,"49,724.00","22,769.40","26,954.60"
15-Apr-2024,Apr 2024,Q2 2024,Nakuru,Industrial Supplies,Alice M.,Walk-in,127,12.89,"1,637.03","1,026.23",610.80
15-Apr-2024,Apr 2024,Q2 2024,Nairobi,Food & Beverage,Felix R.,Online,157,274.00,"43,018.00","27,390.47","15,627.53"
17-Apr-2024,Apr 2024,Q2 2024,Nakuru,Food & Beverage,Felix R.,Walk-in,118,226.66,"26,745.88","18,058.94","8,686.94"
18-Apr-2024,Apr 2024,Q2 2024,Eldoret,FMCG,Esther N.,Walk-in,176,328.44,"57,805.44","34,490.48","23,314.96"
18-Apr-2024,Apr 2024,Q2 2024,Mombasa,Electronics,Henry L.,Distributor,183,306.16,"56,027.28","38,010.05","18,017.23"
18-Apr-2024,Apr 2024,Q2 2024,Nakuru,Apparel,Felix R.,Online,91,278.18,"25,314.38","17,828.72","7,485.66"
19-Apr-2024,Apr 2024,Q2 2024,Mombasa,FMCG,David K.,Online,171,210.66,"36,022.86","26,764.32","9,258.54"
20-Apr-2024,Apr 2024,Q2 2024,Eldoret,Electronics,Felix R.,Walk-in,33,148.79,"4,910.07","2,516.56","2,393.51"
22-Apr-2024,Apr 2024,Q2 2024,Nairobi,Food & Beverage,Henry L.,Direct,89,459.77,"40,919.53","27,804.31","13,115.22"
24-Apr-2024,Apr 2024,Q2 2024,Nairobi,FMCG,Grace A.,Online,76,433.53,"32,948.28","13,561.14","19,387.14"
24-Apr-2024,Apr 2024,Q2 2024,Eldoret,Electronics,Grace A.,Direct,124,434.36,"53,860.64","25,813.54","28,047.10"
25-Apr-2024,Apr 2024,Q2 2024,Mombasa,Electronics,Brian O.,Walk-in,89,361.51,"32,174.39","22,998.55","9,175.84"
25-Apr-2024,Apr 2024,Q2 2024,Kisumu,Apparel,Carol W.,Direct,103,256.63,"26,432.89","16,992.64","9,440.25"
27-Apr-2024,Apr 2024,Q2 2024,Eldoret,FMCG,Alice M.,Direct,186,319.24,"59,378.64","39,775.99","19,602.65"
28-Apr-2024,Apr 2024,Q2 2024,Eldoret,Industrial Supplies,Felix R.,Walk-in,196,51.60,"10,113.60","7,246.88","2,866.72"
30-Apr-2024,Apr 2024,Q2 2024,Nakuru,Electronics,David K.,Direct,163,50.17,"8,177.71","4,251.75","3,925.96"
30-Apr-2024,Apr 2024,Q2 2024,Kisumu,Apparel,Felix R.,Direct,40,83.91,"3,356.40","2,067.33","1,289.07"
01-May-2024,May 2024,Q2 2024,Nakuru,Food & Beverage,Esther N.,Walk-in,64,271.67,"17,386.88","11,156.92","6,229.96"
02-May-2024,May 2024,Q2 2024,Nakuru,Food & Beverage,Henry L.,Direct,33,419.98,"13,859.34","7,969.95","5,889.39"
02-May-2024,May 2024,Q2 2024,Eldoret,Apparel,Esther N.,Walk-in,124,271.49,"33,664.76","21,015.53","12,649.23"
02-May-2024,May 2024,Q2 2024,Nakuru,Industrial Supplies,Brian O.,Distributor,132,322.66,"42,591.12","30,884.77","11,706.35"
03-May-2024,May 2024,Q2 2024,Eldoret,Industrial Supplies,Carol W.,Direct,139,487.58,"67,773.62","49,224.81","18,548.81"
04-May-2024,May 2024,Q2 2024,Mombasa,Electronics,Brian O.,Walk-in,61,96.18,"5,866.98","2,433.11","3,433.87"
04-May-2024,May 2024,Q2 2024,Nairobi,Apparel,Brian O.,Direct,93,271.05,"25,207.65","13,069.35","12,138.30"
04-May-2024,May 2024,Q2 2024,Eldoret,FMCG,Carol W.,Online,148,218.92,"32,400.16","19,060.40","13,339.76"
05-May-2024,May 2024,Q2 2024,Mombasa,Industrial Supplies,Grace A.,Online,168,347.20,"58,329.60","39,263.68","19,065.92"
05-May-2024,May 2024,Q2 2024,Nairobi,Apparel,Henry L.,Distributor,197,237.71,"46,828.87","25,118.25","21,710.62"
06-May-2024,May 2024,Q2 2024,Eldoret,Food & Beverage,Esther N.,Walk-in,154,205.71,"31,679.34","21,327.73","10,351.61"
06-May-2024,May 2024,Q2 2024,Kisumu,Electronics,Henry L.,Online,94,432.48,"40,653.12","29,252.19","11,400.93"
07-May-2024,May 2024,Q2 2024,Eldoret,Electronics,Grace A.,Online,127,276.81,"35,154.87","20,402.56","14,752.31"
08-May-2024,May 2024,Q2 2024,Eldoret,Electronics,Brian O.,Online,169,176.69,"29,860.61","19,328.02","10,532.59"
11-May-2024,May 2024,Q2 2024,Kisumu,FMCG,Brian O.,Distributor,84,62.97,"5,289.48","3,919.57","1,369.91"
12-May-2024,May 2024,Q2 2024,Kisumu,Apparel,Esther N.,Direct,137,474.55,"65,013.35","46,811.92","18,201.43"
12-May-2024,May 2024,Q2 2024,Mombasa,Apparel,Carol W.,Online,192,444.34,"85,313.28","40,950.32","44,362.96"
13-May-2024,May 2024,Q2 2024,Kisumu,Food & Beverage,Henry L.,Walk-in,30,403.38,"12,101.40","6,016.27","6,085.13"
13-May-2024,May 2024,Q2 2024,Kisumu,Industrial Supplies,Felix R.,Online,120,143.26,"17,191.20","12,444.01","4,747.19"
14-May-2024,May 2024,Q2 2024,Nakuru,Food & Beverage,Felix R.,Walk-in,161,202.35,"32,578.35","23,131.24","9,447.11"
14-May-2024,May 2024,Q2 2024,Nakuru,Industrial Supplies,Esther N.,Distributor,73,286.48,"20,913.04","14,578.57","6,334.47"
15-May-2024,May 2024,Q2 2024,Eldoret,Industrial Supplies,Esther N.,Direct,28,320.80,"8,982.40","4,129.46","4,852.94"
15-May-2024,May 2024,Q2 2024,Nairobi,FMCG,Grace A.,Direct,195,41.14,"8,022.30","4,758.06","3,264.24"
15-May-2024,May 2024,Q2 2024,Nakuru,Industrial Supplies,Henry L.,Direct,49,144.95,"7,102.55","4,969.31","2,133.24"
17-May-2024,May 2024,Q2 2024,Nakuru,Food & Beverage,Alice M.,Direct,53,404.28,"21,426.84","11,663.61","9,763.23"
17-May-2024,May 2024,Q2 2024,Kisumu,Electronics,Felix R.,Online,84,147.37,"12,379.08","7,154.28","5,224.80"
17-May-2024,May 2024,Q2 2024,Nakuru,Food & Beverage,Brian O.,Distributor,118,113.58,"13,402.44","6,186.71","7,215.73"
17-May-2024,May 2024,Q2 2024,Nairobi,Apparel,Felix R.,Distributor,34,206.38,"7,016.92","2,899.33","4,117.59"
18-May-2024,May 2024,Q2 2024,Nairobi,FMCG,Brian O.,Distributor,115,229.93,"26,441.95","14,697.52","11,744.43"
18-May-2024,May 2024,Q2 2024,Nairobi,Food & Beverage,Felix R.,Direct,133,339.93,"45,210.69","33,074.55","12,136.14"
19-May-2024,May 2024,Q2 2024,Eldoret,Food & Beverage,Henry L.,Walk-in,25,303.04,"7,576.00","3,323.61","4,252.39"
19-May-2024,May 2024,Q2 2024,Nakuru,Industrial Supplies,Grace A.,Distributor,33,74.93,"2,472.69","1,225.85","1,246.84"
20-May-2024,May 2024,Q2 2024,Mombasa,Apparel,Brian O.,Distributor,156,471.39,"73,536.84","51,183.99","22,352.85"
20-May-2024,May 2024,Q2 2024,Nairobi,Food & Beverage,Carol W.,Walk-in,147,252.85,"37,168.95","15,228.06","21,940.89"
21-May-2024,May 2024,Q2 2024,Kisumu,Apparel,Esther N.,Online,53,83.47,"4,423.91","2,132.70","2,291.21"
22-May-2024,May 2024,Q2 2024,Kisumu,Food & Beverage,Grace A.,Online,12,66.52,798.24,327.57,470.67
22-May-2024,May 2024,Q2 2024,Eldoret,Apparel,David K.,Online,78,355.40,"27,721.20","14,093.90","13,627.30"
25-May-2024,May 2024,Q2 2024,Kisumu,Food & Beverage,Carol W.,Online,25,295.54,"7,388.50","5,175.64","2,212.86"
26-May-2024,May 2024,Q2 2024,Mombasa,Food & Beverage,Felix R.,Distributor,167,103.16,"17,227.72","11,409.59","5,818.13"
27-May-2024,May 2024,Q2 2024,Mombasa,Industrial Supplies,Henry L.,Direct,151,65.96,"9,959.96","4,767.94","5,192.02"
31-May-2024,May 2024,Q2 2024,Kisumu,Electronics,Henry L.,Direct,41,379.53,"15,560.73","10,441.79","5,118.94"
